# 抽取翻译表：<原文>\t<英文>\t<资源名>
# 由 tools/i18n/extract.py 使用；同一个字面量在全局共用一个资源。
# 原文列必须与源码里的字符串**逐字一致**（含 \n 这类转义），否则工具会跳过它。

沉浸式翻译	Immersive translation	translate_title
按贡献日历	By contribution calendar	label_by_contribution_calendar
近 7 天	Last 7 days	label_last_7_days
近 30 天	Last 30 days	label_last_30_days
近一年	Last year	label_last_year
贡献数据不可用（可能是令牌缺少 read:user 权限）	Contribution data unavailable (the token may be missing the read:user scope)	error_contributions_unavailable
活动类型分布	Activity by type	label_activity_by_type
活动热力	Activity heatmap	label_activity_heatmap
过去 90 天	Past 90 days	label_past_90_days
动态加载失败	Failed to load the activity feed	error_activity_load_failed
暂无公开动态	No public activity yet	state_no_public_activity
推送、星标、开 PR 等活动会显示在这里	Pushes, stars, opened PRs and more show up here	note_activity_hint
${day.count} 次贡献	%1$s contributions	label_contribution_count
无贡献	No contributions	state_no_contributions
这一天没有公开贡献记录	No public contributions on this day	note_no_contributions_day
$count 次	%1$s	label_times_count
共 ${dayCounts.sum()} 次活动 · 最深 $max 次/天	%1$s activities in total · busiest day %2$s	label_activity_totals
少	Less	label_less
多	More	label_more
（未知仓库）	(unknown repository)	label_unknown_repo
收起更多菜单	Collapse the more menu	action_collapse_more_menu
已删除记录 #${current.id}	Deleted record #%1$s	toast_deleted_record_current
${tasks.size} 条记录	%1$s records	label_record_count
暂无任务记录	No task records yet	state_no_task_records
拉取仓库、提交文件、创建 PR 等操作会在这里留下记录	Cloning repositories, committing files, creating PRs and similar actions leave a record here	note_task_records_hint
已删除记录 #${t.id}	Deleted record #%1$s	toast_deleted_record
清理已完成	Clear completed	action_clear_completed
全部清除	Clear all	action_clear_all
清除全部任务记录	Clear all task records	action_clear_all_task_records
清理已完成/失败记录	Clear completed/failed records	action_clear_finished_records
将清除全部 $finished 条已结束记录与 $running 个运行中记录（运行中任务会被中断记录）。	This clears all %1$s finished records and %2$s running records (running tasks are interrupted and recorded).	confirm_clear_all_body
将清理 $finished 条已结束记录，保留 $running 个运行中任务。	This clears %1$s finished records and keeps %2$s running tasks.	confirm_clear_finished_body
任务记录仅存本地，删除后不可恢复。	Task records are stored locally only and cannot be recovered once deleted.	note_records_local_only
我确认清理这些记录	I confirm clearing these records	confirm_clear_records_checkbox
已清理 $n 条记录	Cleared %1$s records	toast_cleared_records
清理	Clear	action_clear_records
开始 ${formatTime(task.createdAt)}	Started %1$s	label_started_at
已运行 ${formatDuration(System.currentTimeMillis() - task.createdAt)}	Running for %1$s	label_running_for
耗时 ${formatDuration((task.finishedAt ?: task.updatedAt) - task.createdAt)}	Took %1$s	label_took
任务详情	Task details	label_task_details
基本信息	Basic information	label_basic_info
${task.kind.label} · ${if (task.durable) "长任务" else "短任务"}	%1$s · %2$s	label_task_kind
状态	Status	label_status
开始	Started	label_started
结束	Finished	label_finished
耗时	Duration	label_duration
详情	Details	label_details
存储	Storage	label_storage
Room · tasks.db（仅本地）	Room · tasks.db (local only)	label_storage_local
删除记录	Delete record	action_delete_record
推荐 · 网页点一下授权即可；账号开了双重验证时需要输入数字口令	Recommended · one tap to authorise in the browser; accounts with two-factor enabled need a numeric code	login_oauth_hint
网页端生成密钥并勾选权限；登录时无需数字口令验证	Generate a key on the website and tick the scopes; no numeric code is needed to sign in	login_key_hint
主题：${mode.label}（点击切换）	Theme: %1$s (tap to switch)	login_theme_switch
通过 GitHub 官方 OAuth 授权，最省事的一条路；首次在新设备登录时需要过一次口令 / 设备验证。	Authorise through GitHub's official OAuth — the easiest path; the first sign-in on a new device requires a code or device verification.	login_oauth_desc
适合：已经在 GitHub 网页端登录、且记得住/拿得到数字口令的账号。	Best for: accounts already signed in on the GitHub website that can retrieve the numeric code.	login_oauth_fit
开始授权登录	Start OAuth sign-in	action_start_oauth
改用密钥登录（免口令）	Use an access key instead (no code)	action_switch_to_key
在 GitHub 网页端生成一枚访问密钥，填进 App 即可；登录时不需要数字口令验证。	Generate an access key on the GitHub website and paste it into the app; no numeric code is required to sign in.	login_key_desc
适合：不想每次都输数字口令，或主要用手机做提交/发 PR 的账号。	Best for: accounts that would rather not enter a code every time, or that mostly commit and open PRs from the phone.	login_key_fit
填写密钥	Enter the key	action_enter_key
改用授权登录（一键授权）	Use OAuth instead (one tap)	action_switch_to_oauth
要点	Key points	label_key_points
口令验证长这样	This is what code verification looks like	label_code_prompt_example
• 开了双重验证：输入 6 位口令，或在 GitHub Mobile 上确认\n• 没开双重验证：首次在新设备登录会走「设备验证」，验证码发到邮箱；装了 GitHub Mobile 则会收到一个口令（两位数），在手机上确认即可\n• 两种都只在新设备首次登录时出现；启用双重验证后设备验证不再触发	• Two-factor enabled: enter the 6-digit code, or approve on GitHub Mobile\n• Two-factor not enabled: the first sign-in on a new device goes through “device verification”, with the code sent to your email; with GitHub Mobile installed you get a code (two digits) to confirm on the phone\n• Both only appear the first time you sign in on a new device; once two-factor is enabled, device verification no longer triggers	login_twofactor_bullets
GitHub 文档：登录时验证新设备	GitHub docs: verifying a new device at sign-in	label_github_docs_device_verification
勾选这些权限即可	Tick these scopes	label_tick_scopes
粘贴在 GitHub 网页端生成的访问密钥。密钥只保存在本机，不会上传到任何服务器。	Paste the access key generated on the GitHub website. The key is stored on this device only and is never uploaded to any server.	note_paste_key
访问密钥	Access key	label_access_key
ghp_… 或 github_pat_…	ghp_… or github_pat_…	hint_key_placeholder
去网页端生成密钥（已预填所需权限）	Generate a key on the website (scopes prefilled)	action_generate_key_web
• 经典密钥：勾选 repo / read:user / read:org / notifications 四项\n• 细粒度密钥：至少给 Contents、Issues、Pull requests、Notifications 读权限（含 Metadata）\n• 登录时不要求数字口令验证；密钥可随时在网页端撤销	• Classic keys: tick all four of repo / read:user / read:org / notifications\n• Fine-grained keys: at least read access to Contents, Issues, Pull requests and Notifications (including Metadata)\n• No numeric code is required to sign in; the key can be revoked on the website at any time	login_key_scopes_bullets
双重验证	Two-factor authentication	label_two_factor
输入 GitHub 生成的 6 位验证码	Enter the 6-digit code from GitHub	hint_enter_code
请选择源分支与目标分支	Choose a source and a target branch	error_choose_source_target
源分支与目标分支不能相同	The source and target branches must differ	error_source_equals_target
无法读取 $src 的提交	Cannot read commits from %1$s	error_cannot_read_source_commits
已同步：$src → $dst	Synced: %1$s → %2$s	state_synced_from_to
目标分支已是最新，无需同步	The target branch is already up to date; nothing to sync	state_target_up_to_date
存在冲突，需要人工解决：$result	There are conflicts that need to be resolved manually: %1$s	error_merge_conflicts
同步失败：$result	Sync failed: %1$s	error_sync_failed
源分支（内容来自这里）	Source branch (content comes from here)	label_source_branch
目标分支（同步到这里）	Target branch (synced to here)	label_target_branch
$source 领先 $target ${c.aheadBy} 个提交	%1$s is %3$s commits ahead of %2$s	label_ahead_by
，落后 ${c.behindBy} 个	, %1$s behind	suffix_behind_by
可快进（目标没有独有提交）	Can fast-forward (the target has no unique commits)	state_can_fast_forward
目标有 ${c.behindBy} 个独有提交，只能合并或覆盖	The target has %1$s unique commits; only merge or force is possible	state_target_has_unique
同步方式	Sync method	label_sync_method
合并	Merge	label_merge
保留历史，生成合并提交；有冲突时会被拒绝	Keeps the history and creates a merge commit; refused when there are conflicts	note_merge_desc
仅快进	Fast-forward only	label_fast_forward_only
目标没有独有提交时直接移动；否则拒绝	Moves the branch when the target has no unique commits; refused otherwise	note_fast_forward_only_desc
强制指向源分支，会丢弃目标分支独有提交	Force-points to the source branch and discards the target's unique commits	note_force_desc
已同步	Synced	state_synced
同步中…	Syncing…	state_syncing
快进 $source → $target	Fast-forward %1$s → %2$s	action_fast_forward
覆盖 $target（丢弃 $loseCount 个提交）	Force %1$s (discarding %2$s commits)	action_force_with_count
覆盖 $target	Force %1$s	action_force
合并 $source → $target	Merge %1$s → %2$s	action_merge_branches
确认覆盖 $target？	Force %1$s?	confirm_force_title
覆盖会把 $target 强制指向 $source 的最新提交，$target 上独有的提交将不再被分支引用（仍可通过 reflog 找回，但界面上看不到）。	Forcing points %1$s at the latest commit of %2$s; commits unique to %3$s are no longer referenced (they can still be found through the reflog, but are not visible in the UI).	confirm_force_body
快捷设置	Quick settings	label_quick_settings
本页翻译	Translate this page	label_translate_this_page
已关闭本页翻译，悬浮球已收起；重新开启：设置 → 沉浸式翻译 → 自动翻译正文	Translation for this page is off and the floating button is hidden. To turn it back on: Settings → Immersive translation → Auto-translate article text	note_page_translation_off
原文+译文	Original + translation	label_original_plus_translation
仅译文	Translation only	label_translation_only
中文	Chinese	label_chinese
操作	Actions	label_actions
翻译当前视口	Translate the current viewport	action_translate_viewport
翻译全文	Translate all	action_translate_all
清空本页译文	Clear this page's translations	action_clear_page_translations
重置悬浮球	Reset the floating button	action_reset_bubble
更多设置：App「设置 → 沉浸式翻译」	More settings: app Settings → Immersive translation	note_more_settings_path
翻译中…	Translating…	state_translating
Key 无效	Invalid key	state_key_invalid
额度用尽	Quota exhausted	state_quota_exhausted
已暂停	Paused	state_paused
翻译失败	Translation failed	state_translation_failed
空闲	Idle	state_idle
本页进度	This page's progress	label_page_progress
已译 ${snapshot.translated} / 候选 $total 段	Translated %1$s / %2$s candidate segments	label_translated_of_total
${snapshot.chars} 字符 · ${(fraction * 100).roundToInt()}%	%1$s characters · %2$s%%	label_chars_percent
服务：${if (settings.providerKind == TranslateProvider.DEEPSEEK) "DeepSeek" else "MyMemory"}	Service: %1$s	label_service
目标：${if (settings.target == TranslateConfig.EN) "English" else "中文"} · ${styleLabel(settings.style)}	Target: %1$s · %2$s	label_target_language_style
用户	User	label_user
待处理	To do	label_todo
进行中	In progress	label_in_progress
常用仓库	Frequent repositories	label_frequent_repos
暂无星标仓库	No starred repositories yet	state_no_starred_repos
暂无最近活动	No recent activity yet	state_no_recent_activity
搜索 GitHub	Search GitHub	hint_search_github
夜深了	Working late	greet_late_night
早上好	Good morning	greet_morning
下午好	Good afternoon	greet_afternoon
晚上好	Good evening	greet_evening
$greet，$login	%1$s, %2$s	greet_with_login
没有待办	Nothing to do	state_no_todo
需要你处理的 PR / issue / 通知会出现在这里	PRs, issues and notifications that need your attention show up here	note_todo_hint
未读通知	Unread notifications	label_unread_notifications
$unread 条	%1$s	label_unread_count
待我审查	Awaiting my review	label_awaiting_review
$reviews 个 PR	%1$s PRs	label_review_pr_count
分配给我	Assigned to me	label_assigned_to_me
$assigned 个 issue	%1$s issues	label_assigned_issue_count
运行中	Running	label_running
文件不存在或无法读取	The file does not exist or cannot be read	error_file_unreadable
提交前扫描不可用（本地引擎未就绪），为安全起见已拦下本次提交；可改用网页端提交，或重装带完整引擎的版本后重试。	Pre-commit scan unavailable (the local engine is not ready), so this commit was blocked for safety; commit from the web instead, or reinstall a build with the full engine and try again.	error_scan_unavailable_blocked
请至少勾选一个文件	Tick at least one file	error_tick_at_least_one
没有可提交的内容	Nothing to commit	error_nothing_to_commit_content
提交 ${files.size} 个文件到 $owner/$repo	Commit %1$s files to %2$s/%3$s	label_commit_files_to
已提交 ${files.size} 个文件 · ${result.take(7)}	Committed %1$s files · %2$s	state_committed_files_sha
已提交 ${files.size} 个文件	Committed %1$s files	state_committed_files_only
提交 $path	Commit %1$s	label_commit_path
PUT /contents 成功	PUT /contents succeeded	state_put_contents_ok
已提交	Committed	state_committed
本地提交 $path	Commit locally %1$s	label_commit_local_path
已提交（本地 git · $sha）	Committed (local git · %1$s)	state_committed_local_sha
本地仓库不存在：请先在「设置 → 本地仓库」拉取	The local repository does not exist; clone it first from Settings → Local repository	error_local_repo_missing_clone
写入工作树失败	Failed to write to the working tree	error_write_worktree_failed
提交信息（必填）	Commit message (required)	label_commit_message_required
提交中…	Committing…	state_committing
提交模式：${effectiveMode?.label ?: "未设置"}	Commit mode: %1$s	label_commit_mode_value
已载入远端版本，本地草稿已删除	Loaded the remote version; the local draft was deleted	state_loaded_remote_draft_cleared
远端版本已另存为 ${side.name}	The remote version was saved as %1$s	state_remote_saved_as
提交模式已改为「${mode.label}」（本次编辑立即生效）	Commit mode changed to “%1$s” (takes effect for this edit immediately)	state_commit_mode_changed
输入关键词搜索	Type a keyword to search	hint_type_keyword
未找到匹配的代码	No matching code	state_no_code_results
代码结果	code results	label_code_results
未找到匹配的拉取请求	No matching pull requests	state_no_pull_results
拉取请求结果	pull request results	label_pull_results
未找到匹配的提交	No matching commits	state_no_commit_results
提交结果	commit results	label_commit_results
未找到匹配的主题	No matching topics	state_no_topic_results
主题结果	topic results	label_topic_results
未找到匹配结果	No matching results	state_no_results
结果	results	label_results
搜索或跳转	Search or jump to	hint_search_or_jump
我的	Mine	label_mine
仅显示包含此内容的部分文件路径。优化搜索以查看更多。	Only partial file paths containing this content are shown. Refine the search to see more.	note_paths_truncated
匹配 $count 处	%1$s matches	label_match_count
筛选	Filter	label_filter
语言	Language	label_language
高级	Advanced	label_advanced
$name：$value	%1$s: %2$s	label_name_value
$name（$syntax）	%1$s (%2$s)	label_name_syntax
应用	Apply	action_apply
已到底	End of results	state_end_of_results
用访问令牌打开	Open with an access token	action_open_with_token_short
建一个带 repo 的令牌	Create a token with the repo scope	action_create_repo_token
空目录	Empty directory	state_empty_directory
议题	Issues	label_issues
暂无 Issue	No issues yet	state_no_issues
拉取请求	Pull requests	label_pull_requests
暂无拉取请求	No pull requests yet	state_no_pull_requests
暂无提交	No commits yet	state_no_commits
工作流	Workflows	label_workflows
暂无工作流	No workflows yet	state_no_workflows
发布 · ${items.size}	Releases · %1$s	label_releases_count
暂无发布	No releases yet	state_no_releases
 · ${item.assets.size} 个附件	 · %1$s assets	suffix_asset_count
星标者	Stargazers	label_stargazers
关注者	Followers	label_followers_list
没有拿到数据，请稍后重试。	Could not fetch the data; try again later.	state_no_data_retry
暂无复刻	No forks yet	state_no_forks
暂无内容	No content yet	state_no_content
仓库设置（默认分支 / 分支管理 / 危险区）	Repository settings (default branch / branches / danger zone)	label_repo_settings_menu
开 PR 一条龙（新建分支 + 开 PR）· 无待提交草稿	Open PR one-stop (new branch + PR) · no drafts to commit	label_pr_onestop_no_drafts
开 PR 一条龙（新建分支 + 开 PR）· 待提交 ${changedFiles.size} 个文件	Open PR one-stop (new branch + PR) · %1$s files to commit	label_pr_onestop_with_drafts
请先登录	Sign in first	error_sign_in_first
该仓库已关闭复刻	Forking is disabled for this repository	state_fork_disabled
记住这个仓库的凭据（设置 → 仓库凭据 可删除）	Remember credentials for this repository (removable in Settings → Repository credentials)	label_remember_repo_credentials
已登录网页会话：$login	Signed in to the web session: %1$s	state_web_session_login
复刻已提交（GitHub 异步创建，稍后可用）	Fork submitted (GitHub creates it asynchronously; available shortly)	state_fork_submitted
已复刻到 $full	Forked to %1$s	state_forked_to
提交模式：${modeLabel ?: "未设置"}	Commit mode: %1$s	label_commit_mode_value_alt
推送本地分支	Push the local branch	action_push_local_branch
拉取远端分支	Pull the remote branch	action_pull_remote_branch
切换分支	Switch branch	action_switch_branch
共 ${branches.size} 个分支	%1$s branches in total	label_branch_total
 · 列表来自本地缓存	 · list from the local cache	suffix_from_local_cache
搜索分支	Search branches	hint_search_branches
分支列表尚未加载完成：稍等片刻，或关闭弹窗后在顶部栏点刷新。	The branch list has not finished loading yet: wait a moment, or close this sheet and tap refresh in the top bar.	note_branch_list_loading
没有匹配「$keyword」的分支	No branches match “%1$s”	state_no_branch_match
当前分支	Current branch	label_current_branch_marker
此仓库使用独立凭据	This repository uses separate credentials	label_repo_uses_own_credentials
（@$it）	 (@%1$s)	suffix_at_login
：读与写都用它，操作身份与当前账号不同。	: used for both reads and writes; the acting identity differs from the current account.	suffix_own_credentials_note
改用账号	Use the account instead	action_use_account_instead
请选择两个不同的分支	Choose two different branches	error_choose_two_branches
对比失败：无法读取 $base...$head	Comparison failed: cannot read %1$s...%2$s	error_compare_failed
分支对比	Compare branches	label_branch_compare
比较基准	Compare against	label_compare_base
互换	Swap	action_swap
比较 $base ← $head	Compare %1$s ← %2$s	label_compare_arrow
两个分支内容一致，没有差异	The two branches are identical; no differences	state_no_differences_branches
分叉：领先 ${result.aheadBy} 个提交，落后 ${result.behindBy} 个	Diverged: %1$s commits ahead, %2$s behind	state_compare_diverged
领先 ${result.aheadBy} 个提交	%1$s commits ahead	state_compare_ahead
落后 ${result.behindBy} 个提交	%1$s commits behind	state_compare_behind
${result.files.size} 个文件变更	%1$s files changed	label_files_changed
提交（${result.commits.size}）	Commits (%1$s)	label_commits_count
展开	Expand	action_expand
(无提交信息)	(no commit message)	state_no_commit_message
没有文件差异	No file differences	state_no_file_differences
该对比没有返回文件差异（可能超过 300 个文件上限）	This comparison returned no file differences (it may exceed the 300-file limit)	note_compare_file_limit
该文件差异过大，GitHub 未返回代码片段；可打开文件查看当前内容	This file's diff is too large and GitHub returned no patch; open the file to see its current content	note_diff_too_large
展开剩余 ${lines.size - shown.size} 行	Expand the remaining %1$s lines	action_expand_remaining_lines
打开文件	Open file	action_open_file
暂无分支或加载失败	No branches, or loading failed	state_no_branches_or_failed
请输入分支名	Enter a branch name	error_branch_name_required
分支已存在：$name	The branch already exists: %1$s	error_branch_exists
无法读取来源分支 ${base.ifBlank { default }} 的提交	Cannot read commits from the source branch %1$s	error_cannot_read_source_branch
已创建分支 $name	Created branch %1$s	state_branch_created
创建失败：$err	Creation failed: %1$s	error_creation_failed
已删除分支 $name	Deleted branch %1$s	state_branch_deleted
默认分支已改为 $name	Default branch changed to %1$s	state_default_branch_changed
修改失败：$err	Update failed: %1$s	error_update_failed_err
查看两个分支的提交与代码片段差异	Compare commits and patches between two branches	note_compare_branches_hint
至少需要两个分支	At least two branches are needed	state_need_two_branches
来源分支	Source branch	label_source_branch_name
创建	Create	action_create
会删除远端分支，无法通过界面恢复。若该分支有未合并的提交，删除后这些提交将不再被分支引用。	Deletes the remote branch and it cannot be restored from the UI. If the branch has unmerged commits, they are no longer referenced after deletion.	confirm_delete_remote_branch_body
默认	Default	label_default
对比	Compare	action_compare
设为默认	Set as default	action_set_default
分享日志包	Share the log bundle	action_share_log_bundle
没有可用的分享应用（日志包已保存到 ${ok.displayDir}）	No app available to share (the log bundle was saved to %1$s)	error_no_share_app
没有存储权限，无法写入 Download/${LogExporter.DIR_NAME}/	No storage permission, so nothing can be written to Download/%1$s/	error_no_storage_permission
导出中…	Exporting…	state_exporting
导出	Export	action_export
共	Total	label_total
时间流	Timeline	label_timeline
原始日志	Raw log	label_raw_log
（无匹配日志）	(no matching logs)	state_no_matching_logs
（无日志）	(no logs)	state_no_logs
导出失败	Export failed	error_export_failed
到「系统设置 → 应用 → Branchbase → 权限」里允许存储，再回来点一次导出。	Allow storage in System settings → Apps → Branchbase → Permissions, then come back and tap Export again.	note_allow_storage
去授权	Grant permission	action_grant_permission
知道了	Got it	action_got_it
稍后	Later	action_later
日志类别	Log category	label_log_category
模块 tag	Module tag	label_module_tag
全部 tag	All tags	label_all_tags
关闭筛选面板	Close the filter panel	action_close_filter_panel
关闭面板	Close panel	action_close_panel
分类	Category	label_category
视图模式	View mode	label_view_mode
时间范围	Time range	label_time_range
排序	Sort	label_sort
过往 Issue	Past issues	label_past_issues
还没有处理过的会话。点开或「完成」一条 issue/PR 消息后会自动留档，方便回头找。	No conversations have been handled yet. Opening or completing an issue/PR message archives it automatically so you can find it again later.	note_past_issues_hint
重置	Reset	action_reset
搜索标题 / 仓库 / 编号	Search title / repository / number	hint_search_notifications
恢复未读	Restore unread	action_restore_unread
处理中…	Processing…	state_processing
已选 $selectedCount / 共 $visibleCount	%1$s of %2$s selected	label_selected_of_visible
退出	Exit	action_exit
已选 $selectedCount	%1$s selected	label_selected
/ 共 $visibleCount	/ %1$s total	suffix_of_total
取消全选	Deselect all	action_deselect_all
全选	Select all	action_select_all
没有需要保存的修改	No changes to save	state_no_changes_to_save
个人网站需以 http:// 或 https:// 开头	The website must start with http:// or https://	error_website_scheme
更新 GitHub 资料	Update GitHub profile	action_update_github_profile
已更新 ${body.length()} 个字段	Updated %1$s fields	state_updated_fields
已保存	Saved	state_saved
头像请在 GitHub 网页端更换	Change your avatar on the GitHub website	note_avatar_on_web
名称	Name	label_name
你的显示名称	Your display name	hint_display_name
简介	Bio	label_bio
一句话介绍自己（最多 160 字）	Introduce yourself in one line (up to 160 characters)	hint_bio
公司	Company	label_company
@公司名	@company	hint_company
城市 / 地区	City / region	label_city_region
个人网站	Website	label_website
社交账号	Social accounts	label_social_accounts
X / Twitter 用户名（不含 @）	X / Twitter username (without @)	hint_twitter_username
保存后立即对所有人可见。仅提交有变化的字段，未改动的资料不会被覆盖。	Visible to everyone immediately after saving. Only changed fields are submitted; untouched profile fields are not overwritten.	note_profile_visibility
全部检查	Check all	action_check_all
还没有账号	No accounts yet	state_no_accounts
登录后即可管理本地仓库与任务	Sign in to manage local repositories and tasks	note_sign_in_to_manage
已切换到 @${a.login}	Switched to @%1$s	state_switched_account
添加账号	Add account	action_add_account
每个账号的本地仓库与任务互相隔离（repos/{login}/…）。删除账号不会删除它们，重新登录同一账号即可再次看到。	Each account's local repositories and tasks are isolated (repos/{login}/…). Deleting an account does not delete them; sign in to the same account again to see them.	note_account_isolation
删除「${target.login} · ${target.auth.label}」？	Delete “%1$s · %2$s”?	confirm_delete_account_title
同一账号还有 ${sameLoginOthers} 条其它登录方式的记录（账号列表里单独一行），这次只删这一条。	The same account has %1$s other sign-in records (each its own row in the list); only this one is deleted.	note_delete_account_only_this
该账号名下的本地仓库（${LocalRepos.count(context, target.login)} 个）与任务记录会保留，重新登录同一账号后即可再次看到；其他账号看不到这些数据。	Local repositories (%1$s) and task records under this account are kept and reappear when you sign in to the same account again; other accounts cannot see this data.	note_delete_account_keeps_data
已删除 $login · ${target.auth.label}	Deleted %1$s · %2$s	state_account_deleted
检查状态	Check status	action_check_status
切换到此账号	Switch to this account	action_switch_to_account
删除账号	Delete account	action_delete_account
$repoCount 个本地仓库	%1$s local repositories	label_local_repo_count
作业 #$jobId	Job #%1$s	label_job_number
复制当前步骤日志	Copy the current step's log	action_copy_step_log
复制全部日志	Copy the full log	action_copy_full_log
该作业没有日志输出	This job produced no log output	state_job_no_output
该作业正在运行	This job is still running	state_job_running
GitHub 在作业结束前不提供日志（结束后才生成日志文件，也没有流式接口），所以现在没有可读的内容。它一结束就会自动出现 —— 不需要手动刷新。	GitHub does not provide logs before a job finishes (the log file is only generated at the end, and there is no streaming API), so there is nothing to read yet. It appears automatically the moment the job finishes — no manual refresh needed.	note_job_log_pending
在日志里搜索…	Search the log…	hint_search_log
关闭搜索	Close search	action_close_search
仅错误	Errors only	filter_errors_only
含警告	Include warnings	filter_include_warnings
$count 行	%1$s lines	label_line_count
命中 ${hitCursor + 1}/$hits	Match %1$s/%2$s	label_match_position
$lines 行	%1$s lines	label_lines_count_alt
定位	Locate	action_locate
↓ 最新	↓ Latest	action_jump_latest
仓库不存在或无权访问	The repository does not exist or you have no access	error_repo_not_found_or_forbidden
自述文件 README	README	label_readme
正在加载自述文件…	Loading the README…	state_loading_readme
暂无自述文件	No README yet	state_no_readme
许可证 License	License	label_license
贡献者 Contributors	Contributors	label_contributors
正在加载贡献者…	Loading contributors…	state_loading_contributors
暂无贡献者	No contributors yet	state_no_contributors
项目语言 Languages	Languages	label_languages
正在加载语言构成…	Loading language breakdown…	state_loading_languages
已忽略	Ignored	state_ignored
关注	Watch	action_watch
无	None	label_none_value
${c.commits} 次提交	%1$s commits	label_commit_count
暂无语言数据	No language data yet	state_no_language_data
请先选择分支	Choose a branch first	error_choose_branch_first
请填写：${missing.joinToString(", ")}	Fill in: %1$s	error_fill_required_fields
触发失败：$err	Trigger failed: %1$s	error_trigger_failed
\n该工作流可能未声明 workflow_dispatch，或参数类型不符	\nThe workflow may not declare workflow_dispatch, or the parameter types do not match	error_workflow_dispatch_hint
执行 · ${workflow.name.ifBlank { "未命名工作流" }}	Run · %1$s	label_run_workflow
无法读取工作流文件，暂时不能手动触发	The workflow file cannot be read, so it cannot be triggered manually right now	error_workflow_file_unreadable
该工作流未声明 workflow_dispatch，无法手动触发	This workflow does not declare workflow_dispatch and cannot be triggered manually	error_no_workflow_dispatch
在仓库「代码」页打开 ${workflow.path.ifBlank { "工作流文件" }}，在 on: 下加上 workflow_dispatch: 后即可在本页手动执行。	Open %1$s on the repository's Code page and add workflow_dispatch: under on: to run it from this page.	note_add_workflow_dispatch
分支 / 标签（ref）	Branch / tag (ref)	label_branch_tag_ref
请选择分支	Choose a branch	hint_choose_branch
分支列表加载失败，可直接使用当前默认分支	Failed to load the branch list; you can use the current default branch directly	error_branch_list_failed
参数	Parameters	label_parameters
已触发，运行记录稍后出现在列表中	Triggered; the run appears in the list shortly	state_triggered
已触发	Triggered	state_triggered_short
必填	Required	label_required
 · $it 人正在关注	 · %1$s watching	suffix_watchers
应用自定义	Apply custom	action_apply_custom
自定义通知只有网页端点支持，登录网页会话后可直接在这里设置。	Custom notifications are only available on the website; sign in to the web session to set them up right here.	note_custom_notifications_web
正在读取可订阅事件…	Loading subscribable events…	state_loading_events
暂时读不到事件清单（需要网络）。	The event list cannot be loaded right now (network required).	error_event_list_unavailable
该仓库未启用	Not enabled for this repository	state_not_enabled_for_repo
从 $sourceOwner/$repoName 复刻一份到你自己的账户或组织。	Fork %1$s/%2$s into your own account or organisation.	note_fork_into_account
选择账户	Choose an account	label_choose_account
名称不能为空	The name cannot be empty	error_name_required
正在检查 $owner 下是否已有同名仓库…	Checking whether %1$s already has a repository with this name…	state_checking_name
$owner 下已存在同名仓库，换个名字，或直接打开那一个。	%1$s already has a repository with this name; pick another name or open that one.	error_name_taken_owner
$owner 下没有同名仓库，可以创建。	%1$s has no repository with this name; you can create it.	state_name_available
改名后 GitHub 不会自动成为原仓库的复刻网络成员。	After renaming, GitHub will not automatically make it part of the original repository's fork network.	note_rename_fork_network
源仓库共 $branchCount 个分支。勾选后只复制默认分支 $defaultBranch，其余分支不会出现在你的复刻里。	The source repository has %1$s branches. When ticked, only the default branch %2$s is copied; the other branches will not appear in your fork.	note_copy_default_branch_only
勾选后只复制默认分支 $defaultBranch；不勾则复制全部分支。	When ticked, only the default branch %1$s is copied; otherwise all branches are copied.	note_copy_default_branch_toggle
账号优先：当前账号能打开这个仓库时一律用账号，这里的凭据只是回退。\n打不开时才回退：只有账号被拒（404 / 403）时，仓库页才改用这条令牌。\n回退后读与写都用它：这个仓库里的提交 / 开 PR / 合并都用令牌身份，而不是你当前登录的	Account first: whenever the current account can open this repository, the account is used and this credential is only a fallback.\nFallback only when it cannot: the repository page switches to this token only when the account is refused (404 / 403).\nAfter falling back, both reads and writes use it: commits, PRs and merges in this repository act as the token's identity, not your currently signed-in account.	note_credential_priority
。	.	label_period
还没有仓库凭据	No repository credentials yet	state_no_repo_credentials
账号打不开私有仓库时，可在失败页里添加；添加后这个仓库的读写都回退到该令牌。	When the account cannot open a private repository, add one from the failure page; afterwards all reads and writes for that repository fall back to the token.	note_add_credential_from_failure
凭据列表	Credential list	label_credential_list
删除仓库凭据 ${target.slug}	Delete repository credential %1$s	confirm_delete_credential_title
将删除本机保存的这一条令牌凭据（令牌身份 @${target.login}）；GitHub 上的令牌本身不会被撤销。\n删除后这个仓库会回退到当前账号；若账号无权访问，它将再次打不开。其他仓库的凭据不受影响。\n此操作不可撤销 —— 需要重新添加这条令牌才能恢复。	This deletes the token credential stored on this device (token identity @%1$s); the token itself on GitHub is not revoked.\nAfterwards this repository falls back to the current account; if the account has no access it will be unopenable again. Credentials for other repositories are unaffected.\nThis cannot be undone — you must add the token again to restore it.	confirm_delete_credential_body
更多操作	More actions	label_more_actions
重新运行	Re-run	action_rerun
复制运行链接	Copy run link	action_copy_run_link
任务 · ${jobs.size}	Jobs · %1$s	label_jobs_count
全部 ${jobs.size}	All %1$s	filter_all_jobs
失败 ${progress.failed}	Failed %1$s	filter_failed_jobs
